               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  48,            0.028423,            0.017951,           0.0010614,             0.77088,               0.651,             0.66025,             0.25891,            0.048904,            0.022482,            0.010585,            0.005347,            0.005347,            0.005347
                  49,            0.027967,            0.017606,           0.0012962,             0.81585,             0.65489,             0.66872,             0.26892,            0.048251,            0.022799,             0.01021,            0.005248,            0.005248,            0.005248
                  50,            0.028133,            0.017857,           0.0013765,             0.79978,              0.6723,             0.66877,             0.25778,            0.048154,            0.022052,             0.01136,            0.005149,            0.005149,            0.005149
                  51,            0.028087,            0.017787,           0.0011065,             0.81996,             0.65611,             0.64261,             0.25312,            0.048803,            0.023792,           0.0098518,             0.00505,             0.00505,             0.00505
                  52,            0.027793,            0.017991,          0.00090739,             0.77385,             0.66922,             0.66037,             0.25479,            0.048806,            0.022954,            0.010199,            0.004951,            0.004951,            0.004951
                  53,            0.027484,            0.016743,          0.00098352,             0.78509,             0.67408,             0.67011,             0.27205,             0.04889,            0.023255,           0.0094484,            0.004852,            0.004852,            0.004852
                  54,            0.027204,            0.017078,            0.001212,             0.81338,             0.65694,             0.66237,              0.2695,            0.049031,            0.023732,            0.011516,            0.004753,            0.004753,            0.004753
                  55,              0.0271,            0.017398,           0.0012014,             0.81693,             0.64243,             0.66895,             0.26297,            0.048256,            0.023041,            0.012643,            0.004654,            0.004654,            0.004654
                  56,            0.027249,            0.017453,          0.00088576,             0.81404,             0.65224,             0.68864,             0.27514,            0.048023,            0.022594,            0.010737,            0.004555,            0.004555,            0.004555
                  57,            0.026756,            0.016743,           0.0012937,             0.82223,             0.65093,             0.67084,             0.27934,            0.047503,             0.02367,            0.011238,            0.004456,            0.004456,            0.004456
                  58,            0.026423,            0.017117,           0.0010578,             0.82503,             0.67581,             0.67535,             0.26986,            0.048058,            0.023409,            0.012028,            0.004357,            0.004357,            0.004357
                  59,            0.026667,            0.017065,           0.0010695,             0.78159,              0.6639,             0.65943,             0.27123,            0.048142,            0.023654,            0.012847,            0.004258,            0.004258,            0.004258
                  60,            0.026283,            0.016731,          0.00092119,             0.84251,             0.66385,             0.67989,             0.27317,            0.047962,             0.02317,            0.011921,            0.004159,            0.004159,            0.004159
                  61,            0.025826,            0.016567,          0.00084903,             0.82142,             0.65721,             0.67369,             0.26826,            0.048364,            0.023461,            0.012553,             0.00406,             0.00406,             0.00406
                  62,            0.025946,            0.016544,          0.00089951,             0.80653,             0.65241,             0.66511,             0.25991,             0.04805,            0.023409,             0.01259,            0.003961,            0.003961,            0.003961
                  63,            0.025559,            0.016473,          0.00090232,             0.82022,             0.66685,             0.66612,             0.26736,            0.048348,            0.023539,            0.010048,            0.003862,            0.003862,            0.003862
                  64,            0.025219,            0.016585,            0.001048,             0.82556,             0.67076,             0.68527,             0.27242,            0.047759,            0.023342,            0.010727,            0.003763,            0.003763,            0.003763
                  65,            0.025094,            0.016332,          0.00079799,             0.78976,             0.70377,             0.69273,             0.27186,             0.04864,            0.023393,            0.010355,            0.003664,            0.003664,            0.003664
                  66,            0.025263,            0.016272,            0.000836,              0.8107,             0.67431,             0.67791,             0.27168,            0.047903,            0.024375,            0.011742,            0.003565,            0.003565,            0.003565
